Airspace_Type,Polygon_ID,Vertex_Index,X,Y,Area,Perimeter
restricted_airspace,17,11,2901,819,1036.5,416.91882705688477
restricted_airspace,17,12,2918,799,1036.5,416.91882705688477
restricted_airspace,17,13,2917,792,1036.5,416.91882705688477
restricted_airspace,17,14,2948,771,1036.5,416.91882705688477
restricted_airspace,18,1,2956,764,1665.0,558.8427083492279
restricted_airspace,18,2,2993,766,1665.0,558.8427083492279
restricted_airspace,18,3,3026,779,1665.0,558.8427083492279
restricted_airspace,18,4,3010,797,1665.0,558.8427083492279
restricted_airspace,18,5,3005,788,1665.0,558.8427083492279
restricted_airspace,18,6,2990,787,1665.0,558.8427083492279
restricted_airspace,18,7,2986,797,1665.0,558.8427083492279
restricted_airspace,18,8,2985,789,1665.0,558.8427083492279
restricted_airspace,18,9,2975,789,1665.0,558.8427083492279
restricted_airspace,18,10,2973,807,1665.0,558.8427083492279
restricted_airspace,18,11,3000,806,1665.0,558.8427083492279
restricted_airspace,18,12,3017,815,1665.0,558.8427083492279
restricted_airspace,18,13,3008,800,1665.0,558.8427083492279
restricted_airspace,18,14,3037,788,1665.0,558.8427083492279
restricted_airspace,18,15,3053,821,1665.0,558.8427083492279
restricted_airspace,18,16,3065,825,1665.0,558.8427083492279
restricted_airspace,18,17,3058,803,1665.0,558.8427083492279
restricted_airspace,18,18,3027,771,1665.0,558.8427083492279
restricted_airspace,18,19,2982,759,1665.0,558.8427083492279
restricted_airspace,19,1,1331,776,1240.0,288.9360725879669
restricted_airspace,19,2,1335,776,1240.0,288.9360725879669
restricted_airspace,19,3,1338,759,1240.0,288.9360725879669
restricted_airspace,19,4,1344,764,1240.0,288.9360725879669
restricted_airspace,19,5,1370,763,1240.0,288.9360725879669
restricted_airspace,19,6,1374,754,1240.0,288.9360725879669
restricted_airspace,19,7,1386,756,1240.0,288.9360725879669
restricted_airspace,19,8,1385,761,1240.0,288.9360725879669
restricted_airspace,19,9,1380,761,1240.0,288.9360725879669
restricted_airspace,19,10,1383,768,1240.0,288.9360725879669
restricted_airspace,19,11,1387,760,1240.0,288.9360725879669
restricted_airspace,19,12,1399,765,1240.0,288.9360725879669
restricted_airspace,19,13,1409,762,1240.0,288.9360725879669
restricted_airspace,19,14,1410,751,1240.0,288.9360725879669
restricted_airspace,19,15,1406,747,1240.0,288.9360725879669
restricted_airspace,19,16,1375,749,1240.0,288.9360725879669
restricted_airspace,19,17,1344,741,1240.0,288.9360725879669
restricted_airspace,19,18,1339,749,1240.0,288.9360725879669
restricted_airspace,19,19,1331,749,1240.0,288.9360725879669
restricted_airspace,20,1,1533,744,1123.0,283.4213536977768
restricted_airspace,20,2,1536,752,1123.0,283.4213536977768
restricted_airspace,20,3,1533,759,1123.0,283.4213536977768
restricted_airspace,20,4,1538,762,1123.0,283.4213536977768
restricted_airspace,20,5,1553,761,1123.0,283.4213536977768
restricted_airspace,20,6,1558,755,1123.0,283.4213536977768
restricted_airspace,20,7,1584,763,1123.0,283.4213536977768
restricted_airspace,20,8,1591,758,1123.0,283.4213536977768
restricted_airspace,20,9,1596,761,1123.0,283.4213536977768
restricted_airspace,20,10,1624,758,1123.0,283.4213536977768
restricted_airspace,20,11,1618,746,1123.0,283.4213536977768
restricted_airspace,20,12,1589,751,1123.0,283.4213536977768
restricted_airspace,20,13,1581,747,1123.0,283.4213536977768
restricted_airspace,20,14,1574,757,1123.0,283.4213536977768
restricted_airspace,20,15,1569,741,1123.0,283.4213536977768
restricted_airspace,20,16,1562,753,1123.0,283.4213536977768
